site_no, average,dec_lat_va,dec_long_va,NSE_state
1187300,0.586771107,42.0375,-72.93932778,3
1188000,0.542497719,41.786209,-72.9648261,3
4294140,-0.107723558,44.96305556,-72.9919444,4
4282000,-0.084722561,43.6036792,-73.0131628,4
1186000,-6.1095213,41.9628729,-73.017606,4
1168250,0.30227889,42.66669444,-73.0301667,4
1186500,0.267233891,41.9679222,-73.0334444,4
1208500,0.362092647,41.4423,-73.0622833,4
1206900,0.320127124,41.6737084,-73.0695527,4
4292500,0.286632007,44.67921477,-73.0726365,4
1185500,0.633843392,42.0788611,-73.0728833,3
4292795,-1.33374208,44.8486111,-73.1041667,4
1331500,0.454877689,42.61119407,-73.1239918,4
4294000,0.122196923,44.91670937,-73.1284645,4
4290500,-0.04611,44.47893867,-73.1387381,4
4292750,-0.002215401,44.7797674,-73.1437467,4
4292810,-0.670092878,44.8561111,-73.1508333,4
1306460,-147.2183486,40.77194444,-73.1586111,4
1332500,0.415089293,42.70035897,-73.158994,4
1205500,0.191419663,41.38380278,-73.16663889,4
4282500,0.200376733,44.01311488,-73.1678954,4
4282525,0.357807714,44.0617249,-73.17067429,4
1203600,0.473683243,41.57585,-73.1784667,4
1333000,0.390218837,42.7089695,-73.1967729,4
1197000,0.421398995,42.4695833,-73.1973333,4
1203805,0.543373138,41.5577083,-73.21535278,3
4282795,-0.144624403,44.3700512,-73.2162367,4
1208873,-1.166017874,41.1798189,-73.21900219,4
1304000,-28.85357865,40.84944444,-73.2241667,4
1204000,0.477958279,41.48193889,-73.2245722,4
4282780,0.059722371,44.24922015,-73.22845688,4
4282650,-1.085113417,44.19810987,-73.2490117,4
1334000,0.364516887,42.91285604,-73.2564981,4
1208925,0.038909311,41.165475,-73.2700083,4
12035055,-226.6778999,41.4065472,-73.2731833,4
1203510,0.422745523,41.41925,-73.2821,4
4280450,0.326466629,43.46388889,-73.2841667,4
1202501,-26.8658271,41.719575,-73.29260278,4
1208950,0.204442418,41.15287436,-73.3059495,4
4280000,0.220098726,43.6242324,-73.3115011,4
1209105,-0.432661329,41.22874167,-73.3241194,4
1308500,-70.00990003,40.7086111,-73.3283333,4
1198125,0.578904877,42.0748138,-73.33344858,3
1209005,-650.1157875,41.24551389,-73.3492361,4
1197500,0.542626409,42.23191667,-73.3546667,3
1209500,-0.669954849,41.17073056,-73.3648167,4
1199000,0.495070811,41.95731548,-73.36928577,4
1334500,0.361096749,42.9386111,-73.3769444,4
1199050,0.527972687,41.94231548,-73.3909532,3
1198000,0.553792819,42.1929083,-73.3912306,3
4276500,0.116133297,44.3583333,-73.3944444,4
1208990,0.174333285,41.29454,-73.39512029,4
1201487,0.159282573,41.4658222,-73.40320278,4
4271815,-0.21625219,44.9022222,-73.415,4
1209700,-0.161991313,41.16376667,-73.4195444,4
1329490,0.336257648,43.1086111,-73.4216667,4
1309500,-1462.640926,40.68888889,-73.4547222,4
1303500,-353.8810242,40.8572222,-73.4633333,4
4273500,-0.178325981,44.68166667,-73.4711111,4
1200500,0.452879868,41.6531496,-73.4898462,4
12095493,-263.3349948,41.31408889,-73.4928944,4
4273700,-0.193361828,44.64,-73.4947222,4
4273800,-1.138570902,44.59416667,-73.4961111,4
4271500,-0.111663563,45,-73.5008333,4
1209761,-4.332818249,41.1743222,-73.51107778,4
1200000,0.509829756,41.65876389,-73.5286833,3
1327500,-32.9179505,43.30423926,-73.5465031,4
1209901,-9.533706278,41.0661111,-73.5492722,4
137449480,-139.4636558,41.44725,-73.5560833,4
1328770,-4.056665737,43.12538889,-73.5849167,4
1360640,0.279901859,42.55194444,-73.59138889,4
1374781,0.487571241,41.3273611,-73.5914722,4
